latitude,longitude,collision,distance_to_forest,forestHubName,distance_to_railway,railwayHubName,distance_to_water,waterHubName
6.91770503,79.85632374,0,2529.934336,578298184,2066.903752,483500738,395.6174756,13691
6.967897951,79.90652389,0,1485.100364,419454676,2623.884297,259451386,13835.46438,1937
6.939867411,79.87960064,0,1865.987055,582020061,195.9486616,362630496,16544.17463,1937
6.939822753,79.86812143,0,2430.448313,582020061,915.8532514,331333601,339.6650794,34
6.937414985,79.83795623,0,3960.231321,392170146,1137.600605,23570034,1033.222313,16427
6.90597868,79.8778274,0,822.8396877,557338849,896.2135246,349170726,1514.200942,35
6.940684182,79.88169933,0,1929.557781,582020061,62.75065339,259451395,16310.47843,1937
6.923542141,79.8746735,0,873.8098784,582020061,1342.617067,349170726,390.8291096,12639
6.939206389,79.89657176,0,1497.587454,360000337,1164.399735,50738688,14671.34176,1937
6.922713699,79.83888704,0,4512.770517,578298184,1053.383787,98046428,848.3976229,66
6.941105842,79.86546121,0,2521.904723,392170146,1239.928359,331333601,357.4863547,34
6.929155905,79.8878636,0,875.7490815,582020061,744.9237901,50738688,1503.619858,55
6.926308981,79.85206705,0,3207.512351,578298184,455.6932804,483500733,665.2253509,66
6.91837893,79.85805155,0,2347.339804,578298184,2194.161486,483500738,559.1705263,13691
6.915887181,79.86673466,0,1371.143744,578298184,2460.298709,483500738,1137.836237,46
6.939999132,79.85608512,0,2708.706062,392170146,927.2685432,23553596,1091.895261,34
6.940318527,79.85429014,0,2732.261127,392170146,855.4459848,23553596,1293.241602,34
6.950364527,79.86105312,0,1480.237118,392170146,701.6331206,988991384,740.300903,53
6.929867203,79.88137619,0,742.8081852,582020061,919.3048942,331333601,666.9381819,921
6.9144736,79.87425363,0,561.4889146,578298184,782.6450058,349170726,17424.38402,1937
6.937430389,79.87265837,0,1912.449221,582020061,356.913925,331333601,766.5555658,34
6.955043797,79.88066884,0,2243.316252,392170146,376.0380879,929600799,16473.33618,1937
6.952790602,79.87123432,0,1557.819516,392170146,381.8223657,754212239,170.20804,59
6.953120398,79.86709962,0,1283.462628,392170146,525.2477981,754212239,80.54435558,53
6.916998814,79.88291019,0,435.1403095,578298184,445.7220504,349170726,16433.09315,1937
6.951619965,79.87504728,0,1940.291079,392170146,649.8862407,929600799,197.1482062,33
6.926539581,79.83890227,0,4601.139227,578298184,1007.624782,98046428,468.4506788,16427
6.920060804,79.89706269,0,1052.252046,538677395,2086.625625,50738688,14833.94183,1937
6.918388505,79.87646327,0,407.3019909,578298184,769.4070979,349170726,677.5847923,5352
6.911571037,79.88089701,0,512.2988615,578298184,198.1361468,349170726,16767.27991,1937
6.927673597,79.89848716,0,542.1997569,360000339,1589.09067,50738688,14555.3389,1937
6.92936523,79.8793593,0,763.1853792,582020061,806.2033019,331333601,682.7496992,921
6.921081487,79.88781169,0,626.7432915,582020061,1123.422404,349170726,15823.95966,1937
6.925264108,79.86763152,0,1643.144445,578298184,812.5240936,259451372,926.3898249,12639
6.944991879,79.89823902,0,1997.145993,360000337,1272.566713,29481994,14481.46775,1937
6.949700296,79.8907675,0,2749.119449,738477515,395.6326828,29481994,15322.37122,1937
6.934341977,79.89042248,0,1501.492492,582020061,450.0672544,50738688,15375.74083,1937
6.932240239,79.87412424,0,1363.424449,582020061,521.5007573,259516508,680.7067585,921
6.92940179,79.87026424,0,1520.724793,582020061,354.931703,259451372,1063.231253,34
