TimeOfDay,Name,RoadDistance,Date_parsed,Elevation,LC_40.0,LC_90.0,Season,EleID,Year,LC_10.0,LC_60.0,Datetime_standard,Month,HumanDistance,LC_50.0,longitude,LandCover2,latitude,WaterDistance,NDVI_normalized,LC_20.0,Day,Hour,DayOfWeek,Protected,ElephantPresent,LC_80.0,LC_30.0
Night,Nalagiri,3088.895129,2009-10-04 00:00:00,129.0,0,0,Inter-Monsoon-2,621997,2009.0,1,0,2009-10-04 04:00:00,10.0,1413.703024,0,81.27192014,10.0,7.628330285,2834.733572,0.8995,0,4.0,4,6.0,1,1,0,0
Evening,Negative,1233.423094,2009-10-02,44.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-10-02 20:00:00,10.0,914.9704122,0,79.97794577178682,10.0,6.777559408918554,1509.73285,0.8271,0,2.0,20,4.0,0,0,0,0
Midday,Ekes,4851.642031,,97.0,0,0,,621996,,0,0,,,7549.993693,0,81.20145696,30.0,6.545659175,7315.05093,0.7301,0,,12,,0,1,0,1
Early Morning,Negative,283.3800832,2009-10-09,15.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-10-09 08:00:00,10.0,318.8917127,0,82.89726937308457,10.0,5.630332303916159,51.41555241,0.829,0,9.0,8,4.0,1,0,0,0
Afternoon,Negative,283.3800832,2009-12-10,15.0,0,0,Dry,0,2009.0,1,0,2009-12-10 16:00:00,12.0,318.8917127,0,82.32664793908273,10.0,5.641442929179246,51.41555241,0.829,0,10.0,16,3.0,1,0,0,0
Midday,Negative,581.4011972,2010-02-06,12.0,0,0,Dry,0,2010.0,1,0,2010-02-06 12:00:00,2.0,1280.355519,0,81.22386548573083,10.0,6.208463848081655,592.2306149,0.5226,0,6.0,12,5.0,1,0,0,0
Midday,Wira,1007.012106,,40.0,0,0,,621993,,1,0,,,1095.51549,0,80.09294623,10.0,7.773643377,3068.814224,0.7553,0,,12,,0,1,0,0
Evening,Negative,894.8593567,2010-01-09,12.0,0,0,Dry,0,2010.0,0,0,2010-01-09 20:00:00,1.0,1314.614974,0,80.40473634276127,30.0,6.007813245529806,750.2988052,0.8393,0,9.0,20,5.0,0,0,0,1
Night,Negative,1115.048663,2009-12-07,10.0,0,0,Dry,0,2009.0,0,1,2009-12-07 00:00:00,12.0,417.9268672,0,80.86452944274261,60.0,5.033318705507405,1011.359446,0.6874,0,7.0,0,0.0,0,0,0,0
Midday,Negative,401204.4907,2009-11-12,84.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-11-12 12:00:00,11.0,401510.5496,0,83.78817398286276,10.0,5.745895802560296,398831.7056,-0.2,0,12.0,12,3.0,0,0,0,0
Evening,Negative,401204.4907,2010-03-03,84.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-03-03 20:00:00,3.0,401510.5496,0,83.39579977732535,10.0,4.507886266720275,398831.7056,-0.2,0,3.0,20,2.0,0,0,0,0
Evening,Wanamali,2018.968092,2010-03-09 00:00:00,14.0,0,0,Inter-Monsoon,621512,2010.0,1,0,2010-03-09 20:00:00,3.0,1608.808261,0,81.14042802,10.0,6.17761836,1112.408039,0.8961,0,9.0,20,1.0,1,1,0,0
Night,Kala,2299.609758,,125.0,0,0,,621991,,1,0,,,3223.200119,0,80.55592536,10.0,7.992770594,2160.605646,0.3539,0,,4,,1,1,0,0
Midday,Negative,876.2413101,2010-05-06,82.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-05-06 12:00:00,5.0,1851.605154,0,79.95184372126499,10.0,8.147892588488688,423.1047838,0.8038,0,6.0,12,3.0,1,0,0,0
Evening,Negative,225.8991195,2010-03-08,15.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-03-08 20:00:00,3.0,963.1471465,0,81.69893587779123,10.0,5.326960356095478,681.9496245,0.7716,0,8.0,20,0.0,1,0,0,0
Midday,Negative,678.7102093,2010-09-08,60.0,0,0,Inter-Monsoon-2,0,2010.0,1,0,2010-09-08 12:00:00,9.0,129.3477672,0,81.92906670584127,10.0,7.928564630110042,1032.626706,0.7527,0,8.0,12,2.0,1,0,0,0
Early Morning,Negative,401204.4907,2010-04-12,84.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-04-12 08:00:00,4.0,401510.5496,0,83.76297248498793,10.0,4.632009430786762,398831.7056,-0.2,0,12.0,8,0.0,0,0,0,0
Night,Negative,283.3800832,2010-04-01,15.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-04-01 00:00:00,4.0,318.8917127,0,83.00021951863046,10.0,5.4533941065571225,51.41555241,0.829,0,1.0,0,3.0,1,0,0,0
Night,Chandi,3243.054249,,7.0,0,0,,622000,,1,0,,,1916.619518,0,81.19535746,10.0,8.137482514,1653.279889,0.761,0,,4,,1,1,0,0
Early Morning,Hurululiya,498.3457105,2010-09-05 00:00:00,157.0,0,0,Inter-Monsoon-2,621998,2010.0,1,0,2010-09-05 08:00:00,9.0,3215.745202,0,80.77487931,10.0,8.085211617,4509.134257,0.8718,0,5.0,8,6.0,1,1,0,0
Night,Ekes,5082.036599,2009-08-09 00:00:00,118.0,0,0,Southwest-Monsoon,621996,2009.0,1,0,2009-08-09 04:00:00,8.0,5447.599762,0,81.17750683,10.0,6.576135419,524.8389449,0.7874,0,9.0,4,6.0,0,1,0,0
Night,Nancy,7994.559068,2010-01-03 00:00:00,112.0,0,0,Dry,622001,2010.0,1,0,2010-01-03 04:00:00,1.0,2789.942389,0,80.83924915,10.0,8.174991077,991.909624,0.8192,0,3.0,4,6.0,1,1,0,0
Night,Hurululiya,2373.492294,2010-05-04 00:00:00,149.0,0,0,Inter-Monsoon,621998,2010.0,1,0,2010-05-04 04:00:00,5.0,1562.65972,0,80.78955299,10.0,8.090447709,3586.595042,0.7897,0,4.0,4,1.0,1,1,0,0
